file	token	line_no	occurrence_count
4_rellit/buddh/mhvastuu.txt	m	8045	1
4_rellit/buddh/mhvastuu.txt	m	8591	1
4_rellit/buddh/mhvastuu.txt	p	6955	1
4_rellit/buddh/mhvastuu.txt	r	269	1
4_rellit/buddh/mhvastuu.txt	r	1559	1
4_rellit/buddh/mhvastuu.txt	r	4925	1
4_rellit/buddh/mhvastuu.txt	r	4937	1
4_rellit/buddh/mhvastuu.txt	r	6009	1
4_rellit/buddh/mhvastuu.txt	r	7089	1
4_rellit/buddh/mhvastuu.txt	r	8287	1
4_rellit/buddh/mhvastuu.txt	r	8803	1
4_rellit/buddh/mhvastuu.txt	ṣ	18223	1
4_rellit/buddh/udanav_u.txt	n	35	1
4_rellit/buddh/udanav_u.txt	v	3657	1
4_rellit/buddh/vinsutru.txt	c	3990	1
4_rellit/buddh/vinsutru.txt	d	1689	1
4_rellit/buddh/vinsutru.txt	d	9086	1
4_rellit/buddh/vinsutru.txt	m	1509	1
4_rellit/buddh/vinsutru.txt	m	7269	1
4_rellit/buddh/vinsutru.txt	m	7485	1
4_rellit/buddh/vinsutru.txt	m	7906	1
4_rellit/buddh/vinsutru.txt	m	8142	1
4_rellit/buddh/vinsutru.txt	m	11438	1
4_rellit/buddh/vinsutru.txt	n	1165	1
4_rellit/buddh/vinsutru.txt	n	2298	1
4_rellit/buddh/vinsutru.txt	n	3972	1
4_rellit/buddh/vinsutru.txt	n	5347	1
4_rellit/buddh/vinsutru.txt	r	275	1
4_rellit/buddh/vinsutru.txt	r	7797	1
4_rellit/buddh/vinsutru.txt	r	9186	1
4_rellit/buddh/vinsutru.txt	r	11944	1
4_rellit/buddh/vinsutru.txt	r	12540	1
4_rellit/buddh/vinsutru.txt	s	7531	1
4_rellit/buddh/vinsutru.txt	t	47	1
4_rellit/buddh/vinsutru.txt	t	6995	1
4_rellit/buddh/vinsutru.txt	v	12080	1
4_rellit/buddh/vinsutru.txt	ṇ	9426	1
4_rellit/buddh/vinv08_u.txt	m	121	1
4_rellit/buddh/vinv11_u.txt	r	109	1
4_rellit/buddh/vinv11_u.txt	r	113	1
