file	line_no	token	occurrence_count	context
1_veda/5_vedang/1_srauta/asvss_u.txt	375	t	1	āpyāyasva sametu te sam t payāṃsi samuyantu vājā iha tvaṣṭāram agriyam tan nas turīyam adhapoṣayitnu devānām patnīr uśatīr avantu na iti dve agnir hotā gṛha patiḥ sa rājā havya vāḍ agnir ajaraḥ pitā na iti patnī samyājāḥ |
1_veda/5_vedang/1_srauta/asvss_u.txt	3011	v	1	ghṛta āhavano ghṛta pṛṣṭho agnir ghṛte śrito ghṛtam v asya dhāma | ghṛta pruṣas tvā harito vahantu ghṛtam piban yajasi deva devān iti purastāt | uru viṣṇo vikramasva uru kṣayāya nas kṛdhi | ghṛtam ghṛta yone piba pra pra yajña patim tira ity upariṣṭāt | anyatarataś ced agnā viṣṇū mahi dhāma priyam vām ity upāṃśv eva |
1_veda/5_vedang/1_srauta/asvss_u.txt	3787	v	1	atha brāhmaṇācchaṃsino abhrātṛvyo anā tvam mām te amājuro yathā evā hy asi vīrayur evā hy asya sūnṛtā tam te madam gṛṇīmasi tām v abhi pra gāyata vayam u tvām apūrvya |
1_veda/5_vedang/1_srauta/sankhssu.txt	8635	s	1	s tathā ity uktvā varuṇam rājānam āmantrayām cakre | anena tvā yajā iti | tathā iti | śreyān vai brāhmaṇaḥ kṣatriyād iti |
1_veda/5_vedang/1_srauta/sankhssu.txt	6087	v	1	tam te madam tm v abhi pra gāyata iti stotriya anurūpau |
1_veda/5_vedang/1_srauta/sankhssu.txt	6097	v	1	indrāya sāma gāyata tam v abhi pra gāyata iti stotriya anurūpau |
1_veda/5_vedang/1_srauta/sankhssu.txt	10369	v	1	ud in v asya ricyata iti pañca |
1_veda/5_vedang/1_srauta/sankhssu.txt	10441	v	1	tam v abhi pra gāyata iti catvāri |
1_veda/5_vedang/1_srauta/vaitss_u.txt	1107	m	1	tam indraṃ vājayāmasi mahā | m indro ya ojasā iti stotriyānurupau | uttarau vā ||
1_veda/5_vedang/1_srauta/vaitss_u.txt	1413	m	1	citraṃ devānām ud agād anīkam tat sūryasya devatvaṃ tan mahitvam iti pṛṣṭhastotriyānurūpau | baṇ mahā | m asi sūrya śrāyanta iva sūryam iti vā | indra kratuṃ na ā bhara indra jyeṣṭhaṃ na ā bhara iti vā ||
1_veda/5_vedang/1_srauta/vaitss_u.txt	1429	m	1	chandomeṣu indrā yāhi citrabhāno tam indraṃ vājayāmasi mahā | m indro ya ojasā ity ājyastotriyāḥ ||
1_veda/5_vedang/1_srauta/vaitss_u.txt	1433	m	1	vayaṃ gha tvā sutāvantaḥ ity ādi baṇ mahā | m asi sūrya ityantāḥ pṛṣṭhastotriyānurūpau ||
1_veda/5_vedang/1_srauta/vaitss_u.txt	1435	m	1	uttarayor aṣṭarcam ā satyo yātu maghavā | m ṛjīṣī iti cāvapate ||
1_veda/5_vedang/1_srauta/vaitss_u.txt	1673	m	1	pratipraśne yasyānakṣā duhitā jātvāsa kas tāṃ vidvā | m abhi manyāte andhām | kataro meniṃ prati taṃ muñcāte ya īṃ vahāte ya īṃ vā vareyāt iti ||
1_veda/5_vedang/1_srauta/vaitss_u.txt	1773	m	1	tṛtīyeṣu mahā | m indro ya ojasā abhi pra vaḥ surādhasam evā hy asi vīrayuḥ iti ||
1_veda/5_vedang/1_srauta/vaitss_u.txt	1779	m	1	caturtheṣu mahā | m indro ya ojasā ya eka id vidayate iti ||
1_veda/5_vedang/1_srauta/vaitss_u.txt	1813	m	1	aṣṭame mahā | m indro ya ojasā iti ||
1_veda/5_vedang/2_grhya/kaussu_u.txt	171	m	1	ṛtaṃ tvā satyena pariṣiñcāmi jātavedaḥ iti saha havirbhiḥ paryukṣya jīvābhir ācamya utthāya vedaprapadbhiḥ prapadyate o | m prapadye bhūḥ prapadye bhuvaḥ prapadye svaḥ prapadye janat prapadye iti
1_veda/5_vedang/2_grhya/kaussu_u.txt	205	m	1	dakṣiṇapūrvārdhe somāya tvaṃ soma divyo nṛcakṣāḥ sugā | m asmabhyaṃ patho anu khyaḥ | abhi no gotraṃ viduṣa iva neṣo 'chā no vācam uśatīṃ jigāsi || somāya svāhā iti
1_veda/5_vedang/2_grhya/kaussu_u.txt	4071	m	1	atha prāśnāti | bhadrān naḥ śreyaḥ sam anaiṣṭa devās tvayāvasena sam aśīmahi tvā | sa naḥ pito madhumā | m ā viveśa śivas tokāya tanvo na ehi iti
1_veda/5_vedang/2_grhya/kaussu_u.txt	4987	m	2	mano nv ā hvāmahe nārāśaṃsena stomena | pitṝṇāṃ ca manmabhiḥ || ā na etu manaḥ punaḥ kratve dakṣāya jīvase | jyok ca sūryaṃ dṛśe || punar naḥ pitaro mano dadātu daivyo janaḥ | jīvaṃ vrātaṃ sacemahi || vayaṃ soma vrate tava manas tanūṣu bibhrataḥ prajāvantaḥ sacemahi || ye sajātāḥ sumanaso jīvā jīveṣu māmakāḥ | teṣā | m śrīr mayi kalpatām asmin goṣṭhe śata | m samāḥ etc | iti
1_veda/5_vedang/2_grhya/kaussu_u.txt	5077	m	1	madhu vātā ṛtāyate madhu kṣaranti sindhavaḥ | mādhvīr gāvo bhavantu naḥ || madhu naktam utoṣaso madhumat pārthivaṃ rajaḥ | mādhvīr naḥ santv oṣadhīḥ || madhumān no vanaspatir madhumā | m astu sūryaḥ | madhu dyaur astu naḥ pitā ||
1_veda/5_vedang/2_grhya/kaussu_u.txt	5339	m	1	apeta etu nirṛtir nehāsyā api kiṃ cana | apāsyāḥ satvanaḥ pāśān mṛtyūn ekaśataṃ nude || ye te pāśā ekaśataṃ mṛtyo martyāya hantave | tāṃs te yajñasya māyayā sarvā | m apa yajāmasi || nir ito yantu nairṛtyā mṛtyava ekaśataṃ paraḥ sedhāmaiṣāṃ yat tamaḥ prāṇaṃ jyotiś ca dadhmahe || ye te śataṃ varuṇa ye sahasraṃ yajñiyāḥ pāśā vitatā mahāntaḥ | tebhyo asmān varuṇaḥ soma indro viśve muñcantu marutaḥ svarkāḥ || brahma bhrājad udagād antarikṣaṃ divaṃ ca brahmāvādhūṣṭāmṛtena mṛtyum | brahmopadraṣṭā sukṛtasya sākṣād brahmāsmad apa hantu śamalaṃ tamaś ca ||
1_veda/5_vedang/2_grhya/sankhgsu.txt	1447	r	1	mayobhū r vāta || iti sūktena goṣṭhe gatāḥ |
1_veda/5_vedang/2_grhya/vargs_u.txt	625	n	1	āghārāv āghāryājyabhāgau hutvā caturhot n svakarmaṇo juhuyāt |
1_veda/5_vedang/2_paris/avpari_u.txt	7499	c	1	atha vā nānāvarṇe bahurūpe śṛṅgiṇi cāditye kīlavati c ādbhutāny ulkābhihate
1_veda/5_vedang/2_paris/avpari_u.txt	183	m	1	ṛgvedo yajurvedaḥ sāmavedo brahmavedaḥ śikṣā kalpo vyākaraṇaṃ niruktaṃ chando jyotiṣam itihāsapurāṇaṃ vākovākya m idāvatsaraḥ parivatsaraḥ saṃvatsaro daśamaṃ śītoṣṇe ekādaśadvādaśe
1_veda/5_vedang/2_paris/avpari_u.txt	163	r	1	uttare phalgunyau hasta ś citrā svāti r viśākhe anūrādhā jyeṣṭhā mūlaṃ pūrvāṣāḍhā tan navamam ādityo daśamaṃ nāmarūpa pūrvapakṣāparapakṣāv ekādaśadvādaśe
1_veda/5_vedang/2_paris/avpari_u.txt	2859	t	2	t yā da co pra naḥ yo yo dhi || hi ma dhī sya va de rgo bha yam ṇī re rva tu vi tsa ta t ||
1_veda/5_vedang/2_paris/avpari_u.txt	419	y	1	prajāpatir yaḥ sasṛje prajā imā devānt sa sṛṣṭvā viniyoj y a karmasu | sa sarvabhuk sarvayogeṣu rohiṇī śivāḥ kriyāḥ kṛṇutāṃ karmasiddhaye ||
1_veda/5_vedang/2_paris/avpari_u.txt	163	ś	1	uttare phalgunyau hasta ś citrā svāti r viśākhe anūrādhā jyeṣṭhā mūlaṃ pūrvāṣāḍhā tan navamam ādityo daśamaṃ nāmarūpa pūrvapakṣāparapakṣāv ekādaśadvādaśe
1_veda/5_vedang/2_paris/avpari_u.txt	453	ś	1	yās triṃśataṃ trīṃś ca madanti devā devanāmno nirmitā ṃ ś ca bhūyasaḥ | tā no 'ṣāḍhā uttarā vaso viśve śivāḥ kriyāḥ kṛṇutāṃ suramatāḥ ||
1_veda/5_vedang/2_paris/avpray_u.txt	955	k	1	yat kiṃ cāvidhivihitaṃ karma kriyate tasyaiṣaiva sarvasya k | lptiḥ sarvasya prāyaścittiś ceti hi śrutir bhavati |
1_veda/5_vedang/2_paris/avpray_u.txt	961	k	1	yat kiṃcid yajñe viriṣṭam āpadyeta tasyaiṣaiva sarvasya k | lptiḥ sārvasya prāyaścittiś ca | iti hi śrutir bhavati ||
1_veda/5_vedang/2_paris/avpray_u.txt	1619	k	1	trīṇi vā caturgṛhītāny anuvākasyety ācāryā ete nityakalpāyārtvijyetarūpayasāṃ tanvām ārttim ārchatāṃ cottarāṃ vā saṃdhiṃ saṃdhāya juhuyād iti taittirīyabrāhmaṇam iṣṭvā taddaivatyāmedhikīyatāmarttir vidyāj jāmiṃ puruṣavidhiṃ māyayā vā yajñasaṃbandhinīṃ vāṅmanaścintāyāṃ prāg viharaṇād ārtāya prajāpatir manasi sārasvato vāci visṛṣṭāyāṃ vidhānaṃ dīkṣāyāṃ brahmavrate svāhety etena nyāyena vājasaneyībrāhmaṇamoghena mantrāḥ k | lptāḥ |
1_veda/5_vedang/2_paris/avpray_u.txt	1151	r	1	prāta r ya sya skanno homaḥ syāt sāyaṃ nāśnīyān |
1_veda/5_vedang/2_paris/avpray_u.txt	1477	ś	1	|| ś ca tvā || indur indum upāgāt sāyāme so ma bhūt sarva tasya ta indav | indrapītasyopahūtasyopahūto bhakṣayāmi ity abhimṛṣṭasya bhakṣayet |
1_veda/5_vedang/3_pratis/rgvidh_u.txt	115	h	1	tribhir | sidhyanti | mantrāś | ca | mucyate | ca | upapātakai | h |
1_veda/5_vedang/3_pratis/rgvidh_u.txt	503	m	1	nāsatyau | tu | namas | kṛtvā | parā | m | ṛddhim | avāpnuyāt ||
2_epic/mbh/ext/hv_apppu.txt	41445	s	1	pūṣāpi daityaṃ navabhiḥ śarai s tato
2_epic/mbh/mbh_02_u.txt	16629	m	1	na m indrajālena ca mohanena
2_epic/mbh/mbh_07_u.txt	43513	m	1	matsyaiś ca somakaiś caiva sahito m abhyayāt
2_epic/mbh/mbh_07_u.txt	43665	m	1	guruputrāstravṛrdhyata | ddhyartha m ekajvālam abhūd balam
2_epic/mbh/mbh_08_u.txt	21975	m	1	dvipena devāpṛthu daivāvṛdha | m abhyapīḍayat
2_epic/mbh/mbh_09_u.txt	6563	m	1	śūliyāsa pāśa | m atikramya śakralokaṃ samaśnute
2_epic/mbh/mbh_12_u.txt	35833	m	1	śṛṇu bhīṣma yathānyāyaṃ purā tva | tvā m iha sattamāḥ
2_epic/mbh/mbh_12_u.txt	63237	n	1	udgiraṃś caturo vedāñ śe | n saśe ṣān vasudhādhipa
3_purana/agp_bi_u.txt	47840	c	1	svāhā śirasyatha vaṣaṭśikhāyāṃ kavace c hūṃ
3_purana/bhagp/bhp_03u.txt	431	n	1	tatra snātvā pit n devān ṛṣīṃś caiva tad ambhasā
3_purana/bhagp/bhp_03u.txt	1753	n	1	saṃvatsara śataṃ n ṇāṃ paramāyur nirūpitam
3_purana/bhagp/bhp_03u.txt	6151	n	1	pit n yajanty anudinaṃ gṛheṣv abhiratāśayāḥ
3_purana/bhagp/bhp_04u.txt	1779	n	1	icchanti yat sparśajaṃ niraye 'pi n ṇām
3_purana/bhagp/bhp_05u.txt	237	r	1	samparete pitari nava bhrātaro meru duhit r merudevīṃ pratirūpām ugradaṃṣṭrīṃ latāṃ ramyāṃ śyāmāṃ nārīṃ bhadrāṃ devavītim iti saṃjñā navodavahan
3_purana/bhagp/bhp_09u.txt	1993	n	1	kathaṃ sa bhagavān rāmo bhrāt n vā svayamātmanaḥ
3_purana/bhagp/bhp_09u.txt	2161	n	1	arājakabhayaṃ n ṇāṃ manyamānā maharṣayaḥ
3_purana/bhagp/bhp_09u.txt	2627	n	1	rāmaḥ sañcoditaḥ pitrā bhrāt n mātrā sahāvadhīt
3_purana/bhagp/bhp_09u.txt	2847	n	1	catasṛṣv ādiśaddikṣu bhrāt n bhrātā yavīyasaḥ
3_purana/garup1_u.txt	2723	m	1	tasyaivāṅgagatāṃ devīmamṛtāmṛtabhāṣiṇī m |
3_purana/garup1_u.txt	22704	m	1	śiro 'rtiṃ nāśayatyāśu puṣpaṃ vā mucukundaka m ||
3_purana/garup1_u.txt	13972	t	1	kṣattraṃ cāndrāyaṇaṃ vipraṃ dvāviṃśātriṃśamāhare t ||
3_purana/garup1_u.txt	16602	t	1	kalambikāmlikopetaṃ kāmyaṃ tasya phalaṃ bhave t |
3_purana/garup2_u.txt	10549	t	1	abyaṅgānsapraśastāṃśca na t varjyānkadācana ||
3_purana/narsippu.txt	14175	m	1	dāso 'ha | m vāsudevasya devadevasya śārṅgiṇaḥ ||
4_rellit/buddh/asmahsuu.txt	4722	n	1	ṣaṭpāramitādhikāreṇa ṣaḍvidho niyatipāta eṣa nirdiṣṭaḥ | saṃpattiniyatipāto nityamudārabhogasaṃpattilābhāt | upapattiniyatipāto nityaṃ yatheṣṭopapattiparigrahāt | akhedaniyatipāto n ityaṃ saṃsāraduḥkhairakhedāt | bhāvanāsātatyaniyatipāto nityaṃ bhāvanāsātatyāt | samādhānācyutau kṛtyasiddhau ca niyatipāto nityaṃ samādhyaparihāṇitaḥ sattvakṛtyasādhanataśca | anābhogānutpattikadharmakṣāntilābhe niyatipātaśca nityamanābhoganirvikalpajñānavihārāt |
4_rellit/buddh/asmahsuu.txt	4572	t	1	pitā hi putrāṇāṃ pañcavidhamupakāraṃ karoti | bījaṃ teṣāmavaropayati | śilpaṃ śikṣayati | pratirūpairdārairniyojayati | sanmitreṣupanikṣipati | anṛṇaṃ karoti yathā na paitṛkamṛṇaṃ dāpyate | tatsādharmyeṇa bodhisattvānāmetāni pañca karmāṇi veditavyāni | śraddhā hi sattvānāmāryātmabhāvapratilambhasya bījaṃ | śaikṣāḥ śilpaṃ | vimuktirbhāryā vimuktiprītisukhasaṃvedanā t | buddhāḥ kalyāṇamitrāṇi | avaraṇamṛṇasthānam |
4_rellit/buddh/mhvastuu.txt	939	c	1	ye c | anāgata mahāmatiśūrā |
