file	token	count
1_veda/5_vedang/2_paris/avpray_u.txt	u	2
1_veda/5_vedang/3_pratis/rgvidh_u.txt	u	2
2_epic/mbh/ext/hv_apppu.txt	u	5
2_epic/mbh/ext/hv_conpu.txt	u	3
2_epic/mbh/mbh_01_u.txt	u	7
2_epic/mbh/mbh_02_u.txt	u	1
2_epic/mbh/mbh_05_u.txt	u	4
2_epic/mbh/mbh_06_u.txt	u	11
2_epic/mbh/mbh_07_u.txt	u	9
2_epic/mbh/mbh_08_u.txt	u	9
2_epic/mbh/mbh_09_u.txt	u	3
2_epic/mbh/mbh_12_u.txt	u	4
2_epic/mbh/mbh_13_u.txt	u	3
2_epic/mbh/mbh_14_u.txt	u	2
2_epic/mbh/mbh_15_u.txt	u	1
2_epic/mbh/mbh_16_u.txt	u	1
2_epic/ramayana/ram_01_u.txt	u	1
3_purana/agp_bi_u.txt	u	13
3_purana/bhagp/bhp_01u.txt	u	1
3_purana/bhagp/bhp_02u.txt	u	1
3_purana/bhagp/bhp_03u.txt	u	3
3_purana/bhagp/bhp_05u.txt	u	19
3_purana/bhagp/bhp_10u.txt	u	10
3_purana/bhagp/bhp_11u.txt	u	2
3_purana/bhagp/bhp_12u.txt	u	5
3_purana/brahmap/brahmppu.txt	u	4
3_purana/garup1_u.txt	u	1
3_purana/garup3_u.txt	u	1
3_purana/lip_2__u.txt	u	1
3_purana/mtp176pu.txt	u	4
3_purana/nardp1_u.txt	u	2
3_purana/sivap7_u.txt	u	1
3_purana/vipce_pu.txt	u	4
4_rellit/buddh/bhivin_u.txt	u	1
4_rellit/buddh/udanav_u.txt	u	1
4_rellit/buddh/vinsutru.txt	u	5
4_rellit/buddh/vinv_06u.txt	u	1
4_rellit/saiva/kubjt_pu.txt	u	13
4_rellit/saiva/malinivu.txt	u	1
4_rellit/saiva/sivsutru.txt	u	1
4_rellit/saiva/svact_pu.txt	u	1
4_rellit/vaisn/hbhvil_u.txt	u	17
4_rellit/vaisn/ss2_bhgu.txt	u	5
4_rellit/vaisn/ss3_paru.txt	u	3
4_rellit/vaisn/ss4_krsu.txt	u	5
4_rellit/vaisn/ss5_bhku.txt	u	6
4_rellit/vaisn/ss6_priu.txt	u	3
4_rellit/vaisn/vaimp__u.txt	u	15
5_poetry/1_natya/bharnatu.txt	u	2
5_poetry/2_kavya/bhakirpu.txt	u	4
5_poetry/2_kavya/jaygit2u.txt	u	1
5_poetry/2_kavya/kakumspu.txt	u	1
5_poetry/2_kavya/padnscpu.txt	u	8
5_poetry/4_narr/brkas_pu.txt	u	1
5_poetry/4_narr/hitop_u.txt	u	1
5_poetry/5_subhas/bharst_u.txt	u	4
5_poetry/5_subhas/msubhs_u.txt	u	1
5_poetry/5_subhas/vidsrgpu.txt	u	15
5_poetry/6_hist/jonart_pu.txt	u	1
6_sastra/4_dharma/smrti/angirspu.txt	u	2
6_sastra/4_dharma/sutra/baudhd_u.txt	u	9
6_sastra/4_dharma/sutra/vasist_u.txt	u	1
