file	line_no	category	matched_span	trigger_tokens	context
3_purana/agp_bi_u.txt	23282	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	23426	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	23616	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	23745	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	24054	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	24262	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	24375	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	24444	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	24477	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	24576	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	24683	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	24828	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	25080	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	25127	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	25231	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	25278	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	25388	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	25467	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	25540	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	25637	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	25727	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	25840	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	25928	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	26156	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	26311	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	26466	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	26556	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	26601	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	26682	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	26827	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	26920	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	26957	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	27046	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	27147	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	27326	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	27411	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	27615	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	27948	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	28034	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	28073	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	28254	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	28356	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	28564	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	28647	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	28801	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	28922	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	29130	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	29345	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	29540	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	29790	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	29877	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	29993	editorial_or_european	chapter	chapter	chapter
