rank,piece,clean_piece,score,vowel_count,categories
19610,▁विनिक्षिपेत्,विनिक्षिपेत्,-11.9088,4,ends_with_virama
19611,▁किमयं,किमयं,-11.909,1,contains_special_A
19613,ास्रमपदं,ास्रमपदं,-11.909,1,starts_with_dependent_vowel;contains_special_A
19622,ांस्तान,ांस्तान,-11.9102,2,starts_with_dependent_vowel;contains_special_A
19632,ेनान्तरात्मना,ेनान्तरात्मना,-11.9113,4,starts_with_dependent_vowel
19644,ान्नाना,ान्नाना,-11.9122,3,starts_with_dependent_vowel
19647,ुद्देस्य,ुद्देस्य,-11.9122,2,starts_with_dependent_vowel
19653,संभृत,संभृत,-11.9124,1,contains_special_A
19660,▁असंस्कृतसून्यता,असंस्कृतसून्यता,-11.9131,4,contains_special_A
19668,ाप्नुयात्,ाप्नुयात्,-11.9138,3,starts_with_dependent_vowel;ends_with_virama
19672,ालोकन,ालोकन,-11.914,2,starts_with_dependent_vowel
19680,िद्धि,िद्धि,-11.9149,2,starts_with_dependent_vowel
19685,ापत्तेर्,ापत्तेर्,-11.9151,2,starts_with_dependent_vowel;ends_with_virama
19687,नुयात्,नुयात्,-11.9153,2,ends_with_virama
19692,ात्मकत्वात्,ात्मकत्वात्,-11.9159,2,starts_with_dependent_vowel;ends_with_virama
19698,▁विधेः,विधेः,-11.9162,2,contains_special_A
19700,किंचित्,किंचित्,-11.9163,2,contains_special_A;ends_with_virama
19703,व्याप्तेः,व्याप्तेः,-11.9164,2,contains_special_A
19707,▁आसीद्,आसीद्,-11.9166,2,ends_with_virama
19715,ायुष्मत,ायुष्मत,-11.9171,2,starts_with_dependent_vowel
19733,विक्रामिन्,विक्रामिन्,-11.9184,3,ends_with_virama
19741,▁बुद्धेर्,बुद्धेर्,-11.9193,2,ends_with_virama
19756,ाच्छाद,ाच्छाद,-11.92,2,starts_with_dependent_vowel
19766,▁धर्मचक्रं,धर्मचक्रं,-11.9209,0,contains_special_A
19767,ाभवद्,ाभवद्,-11.9209,1,starts_with_dependent_vowel;ends_with_virama
19777,संसक्त,संसक्त,-11.9222,0,contains_special_A
19778,ोपरोध,ोपरोध,-11.9225,2,starts_with_dependent_vowel
19779,▁संनिधान,संनिधान,-11.9225,2,contains_special_A
19785,▁भक्तिर्,भक्तिर्,-11.923,1,ends_with_virama
19789,▁ततस्तद्,ततस्तद्,-11.9235,0,ends_with_virama
19812,▁पूर्वस्मिन्,पूर्वस्मिन्,-11.9252,2,ends_with_virama
19813,▁संबध्यते,संबध्यते,-11.9252,1,contains_special_A
19814,हृद्,हृद्,-11.9253,1,ends_with_virama
19815,ात्मानमात्मना,ात्मानमात्मना,-11.9255,4,starts_with_dependent_vowel
19817,ोपपद,ोपपद,-11.9258,1,starts_with_dependent_vowel
19824,ादिभिस्,ादिभिस्,-11.9266,3,starts_with_dependent_vowel;ends_with_virama
19838,▁जगज्,जगज्,-11.9277,0,ends_with_virama
19846,्वाकारज्ञतायाः,्वाकारज्ञतायाः,-11.9282,4,contains_special_A
19852,ूर्ज,ूर्ज,-11.9287,1,starts_with_dependent_vowel
19860,▁मनांसि,मनांसि,-11.9295,2,contains_special_A
19873,माचरन्,माचरन्,-11.9305,1,ends_with_virama
19880,तीनाम्,तीनाम्,-11.931,2,ends_with_virama
19882,▁हवींषि,हवींषि,-11.9311,2,contains_special_A
