path,source,layer,chars,lines,compact_chars,duplicate_status,duplicate_of,layer_weight,duplicate_weight,final_weight,effective_chars
data/processed/gretil_devanagari/tei/transformations/html/sa_viSvaksenasaMhitA.txt,gretil,other,337363,11799,301539,prefix_in_candidate,4_rellit/vaisn/visvaksu.txt,0.700,0.200,0.140,47230.8
data/processed/gretil_devanagari/tei/transformations/html/sa_vizvanAthakavirAja-sAhityadarpaNa-comm.txt,gretil,other,1080124,30023,979477,tei_unique,,0.700,1.000,0.700,756086.8
data/processed/gretil_devanagari/tei/transformations/html/sa_vizvanAthakavirAja-sAhityadarpaNa.txt,gretil,other,70272,2465,61732,prefix_in_candidate,5_poetry/1_alam/visvsdpu.txt,0.700,0.200,0.140,9838.1
data/processed/gretil_devanagari/tei/transformations/html/sa_vizvantarAvadAna.txt,gretil,other,18594,394,16577,tei_unique,,0.700,1.000,0.700,13015.8
data/processed/gretil_devanagari/tei/transformations/html/sa_vizvezvarakavicandra-camatkAracandrikA.txt,gretil,other,173055,4709,157573,prefix_in_candidate,5_poetry/1_alam/vcamkc_u.txt,0.700,0.200,0.140,24227.7
data/processed/gretil_devanagari/tei/transformations/html/sa_vyAsatIrtha-tarkatANDava-comm.txt,gretil,sastra,1366607,22840,1251858,tei_unique,,1.000,1.000,1.000,1366607.0
data/processed/gretil_devanagari/tei/transformations/html/sa_yAjJavalkyasmRti.txt,gretil,other,176753,6156,155036,tei_unique,,0.700,1.000,0.700,123727.1
data/processed/gretil_devanagari/tei/transformations/html/sa_yamasmRti-182v.txt,gretil,other,16129,562,14138,tei_unique,,0.700,1.000,0.700,11290.3
data/processed/gretil_devanagari/tei/transformations/html/sa_yamasmRti-78v.txt,gretil,other,6852,236,6049,exact,6_sastra/4_dharma/smrti/ys-78_pu.txt,0.700,0.200,0.140,959.3
data/processed/gretil_devanagari/tei/transformations/html/sa_yamasmRti-99v.txt,gretil,other,8763,302,7739,exact,6_sastra/4_dharma/smrti/ys-99_pu.txt,0.700,0.200,0.140,1226.8
