freeze_id,relative_path,canonical_hash,script,condition,representation_path,representation_hash,byte_count,char_count,line_count,boundary_path,boundary_hash,boundary_count,boundary_semantics
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/4_upa/kathop_u.txt,65889f708701d9fa05c4915204b307c43a2c5fd66af6f29fcc275ebecc884d3f,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/4_upa/kathop_u.txt,14d6d43ae4fcb8b7ed5970e0216aa257a7baad86178ea66b9ece6ad0f0cda0ab,32858,11310,529,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/4_upa/mandup_u.txt,25d0fbc71b062246c119f7ed99de3cae5b6eb1fa3c65193d4667e94e682d0b64,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/4_upa/mandup_u.txt,49fd1f843d9ce9b85dcf4691713bb97ca41f03d755ee21605d0f9e49ccc161cf,3602,1232,47,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/4_upa/prasup_u.txt,5eeb79a9938a34aa36c79d2bbb1ee3cd43b20668793f15b091b89fcf44c10030,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/4_upa/prasup_u.txt,062ccad04419f80c821ff76d34265cf3b418b2242f2777bd598af34e58a9b950,24512,8508,505,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/4_upa/svetu_pu.txt,dca6f9592ffe9c5e7179a405faba0c3b248603ea7f7584696260e457b16f7978,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/4_upa/svetu_pu.txt,d701cd80cdb743ea91ba703cd2ef9daf160d972462f8695b0b96c1cb5efea719,32821,11251,465,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/5_vedang/1_srauta/apsulb_u.txt,12b5568f5cc977c2d421db31a8ebfc54f741c250562ff06887fd0a5a37b97ae7,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/5_vedang/1_srauta/apsulb_u.txt,9fbaa5125b7d6c3c46e524c4ad4b65613eef5204c63a3d2e52105f103666a641,51983,17815,601,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/5_vedang/1_srauta/asvss_u.txt,49b075db90833ce4b84c65f725222c4378be657296b085e66abeeb1f57c4c6ae,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/5_vedang/1_srauta/asvss_u.txt,10b0c7ac8a446ee75147926af297d0e860a79e2bb3c06cc8bb357ebd121248d6,521344,178320,5993,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/5_vedang/1_srauta/sankhssu.txt,d15ca711d9d51e51d61c6473a95a5bcfe9d8fe9d3a1dfc9afb3e48de3cfde08d,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/5_vedang/1_srauta/sankhssu.txt,e08ea89fc410886e0d88c74cda95162a5bca4fdf9c0bd42f7bd9d7e40394a92d,711562,245178,10739,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/5_vedang/1_srauta/vaitss_u.txt,f988a3fae41fa217dc419f7acb95a9dd5ccd68d81cb2a629e66f20715d2cee88,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/5_vedang/1_srauta/vaitss_u.txt,33f8ed9c8c7fd12ccba5af8273551c57f202e5235a593e4b184b05114ea7286a,167722,57516,1931,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/5_vedang/2_grhya/asvgs_u.txt,50f2f03ea2bd21e72590354c4c2c23220e2009bd56023e9422bc9a19db979e39,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/5_vedang/2_grhya/asvgs_u.txt,b52cbd4e6f8a5c2e338222d867211fdaaa8afe4029bcebbb2b766a23df18443a,122917,42143,1521,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/5_vedang/2_grhya/jaimigsu.txt,62fafe36f02d40fc3254268b1f79ed7fd30293bb0951fd01367a094b1f73f559,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/5_vedang/2_grhya/jaimigsu.txt,1526b1157213f0f940715a1935673300f4638f69f485626350594dde0749be70,117673,39469,365,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/5_vedang/2_grhya/kaussu_u.txt,e20e7d54e7fd4cb3f83e937687da2fd41bd73d1747e8b2a2a715972164f68e13,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/5_vedang/2_grhya/kaussu_u.txt,4498c166eda5a54fab669b227c831cf3ebc775cf11e4f891e1f6a5815bc5d027,390461,134599,6103,,,0,
